0,Radiation
2016-09-01 00:05:10,2.205
2016-09-01 01:25:06,3.279
2016-09-01 02:25:06,2.431
2016-09-01 03:30:05,2.408
2016-09-01 04:30:03,2.285
2016-09-01 05:30:07,12.058
2016-09-01 06:45:08,132.299
2016-09-01 08:15:06,569.595
2016-09-01 09:25:09,866.1469999999998
2016-09-01 10:45:04,1007.125
2016-09-01 12:00:10,1062.308
2016-09-01 13:25:04,968.229
2016-09-01 14:30:05,809.243
2016-09-01 15:40:03,557.322
2016-09-01 16:45:04,195.906
2016-09-01 17:55:08,12.979
2016-09-01 19:10:06,2.516
2016-09-01 20:15:07,2.608
2016-09-01 21:15:04,2.474
2016-09-01 22:15:05,2.317
2016-09-01 23:15:10,2.434
2016-09-02 00:25:06,2.516
2016-09-02 01:40:08,2.732
2016-09-02 02:45:09,2.295
2016-09-02 03:45:05,2.504
2016-09-02 04:45:02,2.244
2016-09-02 05:45:06,9.373
2016-09-02 06:45:08,212.832
2016-09-02 07:45:06,492.887
2016-09-02 08:50:05,730.956
2016-09-02 09:50:04,901.186
2016-09-02 10:50:06,1013.631
2016-09-02 11:50:02,1057.655
2016-09-02 12:50:03,1026.529
2016-09-02 13:50:08,930.683
2016-09-02 15:00:09,624.179
2016-09-02 16:00:06,444.013
2016-09-02 17:00:05,246.951
2016-09-02 18:00:06,36.933
2016-09-02 19:00:07,2.778
2016-09-02 20:00:04,2.641
2016-09-02 21:00:05,2.001
2016-09-02 22:00:03,2.3280000000000003
2016-09-02 23:00:07,2.719
2016-09-03 00:00:04,2.282
2016-09-03 01:15:04,2.67
2016-09-03 02:15:05,2.774
2016-09-03 03:15:03,2.998
2016-09-03 04:15:04,2.6710000000000003
2016-09-03 05:15:03,3.055
2016-09-03 06:15:07,70.584
2016-09-03 07:15:05,359.398
2016-09-03 08:15:06,569.887
2016-09-03 09:15:07,671.696
2016-09-03 10:20:03,451.537
2016-09-03 11:20:02,136.756
2016-09-03 12:20:04,150.188
2016-09-03 13:20:02,139.322
2016-09-03 14:20:05,85.39
2016-09-03 15:20:04,166.882
2016-09-03 16:20:05,48.982
2016-09-03 17:20:05,31.309
2016-09-03 18:25:07,3.645
2016-09-03 19:25:06,2.758
2016-09-03 20:25:04,2.153
2016-09-03 21:25:05,2.242
2016-09-03 22:25:03,2.551
2016-09-03 23:30:04,3.199
2016-09-04 00:50:06,3.552
2016-09-04 01:50:04,2.583
2016-09-04 02:50:10,2.593
2016-09-04 03:50:04,2.562
2016-09-04 04:50:11,3.133
2016-09-04 05:50:06,11.065
2016-09-04 06:50:04,233.44
2016-09-04 07:50:07,473.2
2016-09-04 08:50:02,232.656
2016-09-04 09:50:03,389.399
2016-09-04 10:50:04,760.3580000000002
2016-09-04 12:05:04,699.498
2016-09-04 13:05:12,345.962
2016-09-04 14:05:07,259.31
2016-09-04 15:05:09,60.411
2016-09-04 16:10:05,45.056
2016-09-04 17:10:09,37.105
2016-09-04 18:10:04,7.876
2016-09-04 19:10:05,2.7110000000000003
2016-09-04 20:10:05,2.191
2016-09-04 21:10:07,2.74
2016-09-04 22:10:05,2.551
2016-09-04 23:10:10,2.619
2016-09-05 00:20:03,2.4530000000000003
2016-09-05 01:35:07,1.969
2016-09-05 02:35:04,2.0540000000000003
2016-09-05 03:35:07,2.239
2016-09-05 04:35:07,1.834
2016-09-05 05:35:05,6.507999999999999
2016-09-05 06:35:04,151.405
2016-09-05 07:35:06,455.033
2016-09-05 08:35:06,687.796
2016-09-05 09:35:05,878.698
2016-09-05 10:40:04,1014.069
2016-09-05 11:40:03,1067.64
2016-09-05 12:45:04,1077.937
2016-09-05 13:45:05,679.577
2016-09-05 14:45:04,600.528
2016-09-05 15:45:04,334.266
2016-09-05 16:45:04,171.601
2016-09-05 17:45:05,18.264
2016-09-05 18:45:08,2.571
2016-09-05 19:45:22,2.157
2016-09-05 20:45:21,2.649
2016-09-05 21:45:22,2.408
2016-09-05 22:45:23,2.336
2016-09-05 23:45:23,2.801
2016-09-06 01:05:20,2.763
2016-09-06 02:05:21,3.3480000000000003
2016-09-06 03:05:19,2.7880000000000003
2016-09-06 04:05:19,2.44
2016-09-06 05:05:21,3.123
2016-09-06 06:05:26,33.162
2016-09-06 07:05:20,327.148
2016-09-06 08:05:18,583.207
2016-09-06 09:05:22,792.0219999999998
2016-09-06 10:05:22,952.996
2016-09-06 11:05:23,1052.278
2016-09-06 12:05:20,997.248
2016-09-06 13:05:19,984.336
2016-09-06 14:05:23,668.796
2016-09-06 15:05:19,403.208
2016-09-06 16:05:19,282.67
2016-09-06 17:05:21,209.511
2016-09-06 18:05:20,11.929
2016-09-06 19:05:25,2.165
2016-09-06 20:05:21,1.984
2016-09-06 21:05:20,2.42
2016-09-06 22:05:20,2.437
2016-09-06 23:05:24,2.148
2016-09-07 00:25:19,2.7510000000000003
2016-09-07 01:35:21,2.498
2016-09-07 02:35:19,2.888
2016-09-07 03:35:22,2.588
2016-09-07 04:35:26,2.36
2016-09-07 05:35:23,6.533
2016-09-07 06:35:20,137.524
2016-09-07 07:35:22,316.458
2016-09-07 08:35:26,426.468
2016-09-07 09:35:23,752.2330000000002
2016-09-07 10:35:25,850.556
2016-09-07 17:50:22,19.634
2016-09-07 19:15:21,2.457
